Unit: 2012 USD,GDP
2014,3.29235E+12
2015,3.17573E+12
2016,3.06538E+12
2017,3.11525E+12
2018,3.16697E+12
2019,3.20554E+12
2020,3.09117E+12
2021,3.25595E+12
2022,3.35421E+12
2023,3.45624E+12
2024,3.51840E+12
2025,3.59025E+12
2026,3.64064E+12
2027,3.69454E+12
2028,3.75530E+12
2029,3.82418E+12
2030,3.90129E+12
2031,3.98607E+12
2032,4.07746E+12
2033,4.17472E+12
2034,4.27729E+12
2035,4.38467E+12
2036,4.49645E+12
2037,4.61226E+12
2038,4.73181E+12
2039,4.85483E+12
2040,4.98101E+12
2041,5.11010E+12
2042,5.24189E+12
2043,5.37623E+12
2044,5.51298E+12
2045,5.65200E+12
2046,5.79319E+12
2047,5.93645E+12
2048,6.08174E+12
2049,6.22900E+12
2050,6.37822E+12
2051,6.52938E+12
2052,6.68243E+12
2053,6.83731E+12
2054,6.99395E+12
2055,7.15229E+12
2056,7.31227E+12
2057,7.47384E+12
2058,7.63691E+12
2059,7.80133E+12
2060,7.96697E+12
