Unit: dimensionless (% of output purchased),ISIC 01T03,ISIC 05,ISIC 06,ISIC 07T08,ISIC 09,ISIC 10T12,ISIC 13T15,ISIC 16,ISIC 17T18,ISIC 19,ISIC 20,ISIC 21,ISIC 22,ISIC 231,ISIC 239,ISIC 241,ISIC 242,ISIC 25,ISIC 26,ISIC 27,ISIC 28,ISIC 29,ISIC 30,ISIC 31T33,ISIC 351,ISIC 352T353,ISIC 36T39,ISIC 41T43,ISIC 45T47,ISIC 49T53,ISIC 55T56,ISIC 58T60,ISIC 61,ISIC 62T63,ISIC 64T66,ISIC 68,ISIC 69T82,ISIC 84,ISIC 85,ISIC 86T88,ISIC 90T96,ISIC 97T98
agriculture and forestry 01T03,0.093160382,8.15551E-06,0,0,0,0.726439753,0.015038759,0.016286552,0.015393524,0.044631024,0.000893028,0,0.007613168,0,0,0.002728018,0,6.52441E-05,0,0,0,0,1.22333E-05,0,0,0,0.000101944,0.002373253,0,0,0.023524566,0,0,0,0,0,0.00047302,0.005835267,0.002728018,0.002006255,0.00083594,0
coal mining 05,0.01435642,0.014202711,0.011190015,0,0.000153709,0.012143011,0,0,0.000122967,0.005933167,0.143287528,0,0,0,0,0.218912355,0.024931599,3.07418E-05,0,0.001629315,0,0.003258631,0.001229672,0,0,0,0.012235236,0.281871561,0,0.000184451,0,0,0,0,0,0.013618617,0.000276676,0.002367119,0.000614836,0.000122967,0,0
oil and gas extraction 06,0,5.92701E-06,0.04921793,0.000468234,8.29782E-05,0.005606956,0.000954249,0.000225227,0.003656968,0.858350275,0.009672888,0.000201519,0.000604556,0,0,0.001979623,0.001819594,0.002192995,0,0.000130394,0.000136321,0.00176625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403037,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0.085938531,0.001714813,0,0,0,0,0,0,0,0,0,0,0.899947237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000395726,0,0,0,0,0
food beverage and tobacco 10T12,0.083662721,0.000142217,0,1.47121E-05,0,0.469501849,0.013495886,0,0.003118962,0.012054101,0.015055366,3.92322E-05,0,0,0,0,0,0.000225585,0,0,0,9.80806E-06,3.43282E-05,0,0,0,0,0,0,0.00035309,0.316226448,0,0.000132409,0,0.001981227,7.35604E-05,0.000411938,0.022524201,0.019797562,0.018341065,0.005982914,0
textiles apparel and leather 13T15,0.011791104,0.003959699,0.002727793,0,8.79933E-05,0.006452843,0.73635737,0,0.003402408,0,0.000689281,0.001891856,0.010016572,0,0,8.79933E-05,0,0.002947776,0,0.000146656,0.000146656,0.029316439,0.029991054,2.93311E-05,0,0,0.002595803,0.015032191,0,0.010793846,0.014386907,0.003358411,0.00118791,4.39967E-05,0.017965301,0.00079194,0.014093596,0.012451054,0.013785619,0.001965184,0.036986522,0
wood products 16,0.025016417,0.000250164,0,0,0,0.017667845,0.001094468,0.130804591,0.168047781,0,0.002814347,0,0,0,0,0.000562869,0,0.009693862,0,9.38116E-05,0.014665874,0.01260202,0.250414334,0,0,0,0.000218894,0.227211608,0,0.002876888,0,0.007004597,0,0,0,0.019762969,0.004440414,0.00240783,0.000875575,6.2541E-05,0.007661278,0
pulp paper and printing 17T18,0.006639629,5.61728E-05,0.000460617,0.000988642,0.000303333,0.091539248,0.024255429,0.007538394,0.137556032,0.001763827,0.02046938,0.009807777,0.024659873,0,0,0.000550494,0.000179753,0.016436171,0.017930368,0.005662222,0.00258395,0.015234072,0.012582714,0.000157284,0,0,0.00078642,0.006291357,0,0.0078979,0.016863084,0.065149251,0.013627529,0.017952837,0.051791352,0.007942839,0.148678253,0.027153947,0.017773084,0.010841357,0.020323331,0
refined petroleum and coke 19,0.038111455,0.003157533,0.006652627,0.007492046,0.003300922,0.02200714,0.001762483,0.000648235,0.004220997,0.443139012,0.067398545,0.002709444,0.006132843,0,0,0.008964765,0.004597392,0.001448821,0.000498872,0.00263775,0.001702738,0.004776628,0.001266598,0.000970859,0,0,0.002739317,0.034117489,0,0.219966841,0.00620155,0.000406267,0.000460038,0.000498872,0.002796075,0.000349509,0.010772057,0.011969948,0.001977566,0.001401025,0.002828935,0
chemicals 20,0.235105997,0.010861641,0.011367175,0.001956194,0.001348089,0.023833335,0.032852344,0.004645046,0.032031768,0.003293294,0.323435136,0.012301313,0.089999597,0,0,0.006586587,0.006051748,0.013521187,0.002476381,0.016122119,0.002216288,0.011132724,0.015059767,0.003765857,0,0,0.005601163,0.036515629,0,0.003073496,0.000761963,0.001622835,0.000699688,4.39594E-05,0.000230787,0.004784251,0.017961089,0.002036787,0.003285967,0.010022749,0.008414567,0
rubber and plastic products 22,0.007753677,0.001804315,0.001638513,0.004564429,0.000614442,0.123054266,0.010484532,0.00185308,0.018560059,0.000887528,0.035491359,0.004067023,0.160652284,0,0,0.004798502,0.000185308,0.008192564,0.013781063,0.023777942,0.026859907,0.165792143,0.037393204,0.012240081,0,0,0.002984434,0.129754613,0,0.076473686,0.004622947,0,0,2.92592E-05,0.000312098,0.000897281,0.014258963,0.001687278,0.002174931,0.008572933,0.001160613,0
glass and glass products 231,0.099560624,0.001140507,0.000635692,3.73937E-05,0.000205665,0.065401514,0,0,0.003571095,0,0.01899598,0.001065719,0.009666262,0,0,0.006188651,0.000112181,0.003627185,1.86968E-05,0.006525194,0.007160886,0.050275778,0.013779564,0.004094606,0,0,0.001140507,0.577657287,0,0,0.015892306,0,0,0,0,0.022080957,0.001738805,0.005889502,0.002916706,0.003795457,0.001215294,0
cement and other nonmetallic minerals 239,0.008587879,0,0.002752025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014501805,0.770274227,0,0.000136625,0,0,0,0,0,0.035581146,0,0.002322631,0.000526984,9.75895E-05,0.003005758,0
iron and steel 241,0.005004593,0.001098054,0.02569869,0,0.000633493,0.002111643,0,0,0.001467592,0,0,1.05582E-05,0.00921732,0,0,0.126730227,0.010294257,0.213793249,0.000527911,0.033944654,0.10325932,0.174094369,0.026743953,0.009914162,0,0,0.00088689,0.227086039,0,0.000348421,0,0,0,0.000147815,0,0,0.002882392,0.001583732,0.000422329,5.27911E-05,0,0
other metals 242,0,0,0,0,0.001585888,0.015619908,2.17245E-05,0,0.011687776,0,0.00488801,0.000152071,0.00169451,0,0,0.030501184,0.206143686,0.052138776,0.004844561,0.215267972,0.05728748,0.154091808,0.081271317,0.037192327,0,0,0.002215898,0.105581021,0,0.000260694,0,0,0,0,0,0.001585888,2.17245E-05,0.000347592,6.51735E-05,0,0,0
metal products except machinery and vehicles 25,0.011304394,0.000687358,0.01125152,0.006069899,0.002590811,0.0864379,0.002717707,0.004536562,0.001639084,0.002855179,0.023655687,0.001543912,0.001871728,0,0,0.022037752,0.002136097,0.108486226,0.011811981,0.028424893,0.074689367,0.083117432,0.046317348,0.033997779,0,0,0.005657484,0.328038915,0,0.001015175,0.023549939,0.000126897,0.000253794,3.17242E-05,0,0.005393116,0.003965526,0.012911754,0.001131497,0.001956326,0.001078623,0
computers and electronics 26,1.59507E-05,0,0.00535945,0,0,0.000446621,0,0,0.009745905,0,0,0,0,0,0,0,0,0,0.647105737,0.012250171,0.015169158,0.015472222,0.004051489,0.016365463,0,0,0.000287113,0.014977749,0,0.005471105,1.59507E-05,0.009410939,0.005391352,0.051584706,0.011133619,1.59507E-05,0.090137655,0.010782703,0.026191122,0.013590034,0.026669644,0
appliances and electrical equipment 27,0.002974865,0.000587848,0.003081746,0.000445339,0.000338458,0.003723035,0.001353831,0.000480966,0.001389458,0.000195949,0.003010492,0.000195949,0.001692289,0,0,0.000480966,0.00179917,0.000872865,0.043767925,0.205051927,0.069668846,0.054099792,0.013912393,0.049984858,0,0,0.004061492,0.261948448,0,0.028964854,0.001211322,0.001656661,0.02194631,0.000285017,0.001068814,0.013253291,0.031405312,0.002333577,0.001478526,0.000213763,0.024974616,0
other machinery 28,0.000967284,0.003385494,0.071610216,0.050298766,0.01532053,0,0,0.001357318,0,0,0,0,0.001591338,0,0,0,0.000358831,0.001123298,0.001216906,0.012231462,0.44320327,0.036881601,0.014914895,0.191647035,0,0,0.001466527,0.095246267,0,0.008159508,0.000156014,0,0.001310514,0,7.80068E-05,0,0.026257079,0.001560135,0.000202818,0.002309,7.80068E-05,0
road vehicles 29,0,0,0,0,0,0.000603389,0,0,0,0,0.00020113,0,0,0,0,0,0,0,0,0,0,0.706682757,0.000236109,0,0,0,0,0,0,0.115098729,0,0,0,0,0,0,0.002466027,0.011210802,0.003331759,0.001250503,0,0
nonroad vehicles 30,0.000507404,0,0.00108998,0.000657746,0.000112757,0.001108772,0.055081561,0.000225513,3.75855E-05,0.000131549,0.003946478,0.001465835,3.75855E-05,0,0,0.00020672,1.87928E-05,9.39638E-05,0.000676539,5.63783E-05,0.016537623,0.023829211,0.324005863,0.035161242,0,0,0.000977223,0.026572953,0,0.034428324,0.000263099,0.001766519,5.63783E-05,0.002330301,0.007836578,0.003627001,0.051604901,0.031759753,0.027963617,0.314684658,0.010072916,0
other manufacturing 31T33,0.004139789,0.015262353,0.034714371,0.019551772,0.012369489,0.043974862,0.016924919,0.007714305,0.065089446,0.014480947,0.032885549,0.010158276,0.009426747,0,0,0.130710913,0.03177163,0.012751879,0.001346678,0.008445834,0.028064109,0.016476026,0.017540068,0.011953847,0,0,0.017024672,0.045038904,0,0.071706457,0.004505553,0.016010507,0.014231562,0.012918135,0.005536344,0.001778945,0.056144843,0.016791913,0.002061581,0.022245129,0.016991421,0
energy pipelines and gas processing 352T353,0.06283007,0.003989,0.001000563,0.005566047,0.001669814,0.027498923,0.011622436,0.00414803,0.013385018,0.001033694,0.029884372,0.001457774,0.011967001,0,0,0.019414902,0.013597058,0.007600305,0.000887917,0.003525163,0.00388298,0.01150979,0.003790213,0.001086704,0,0,0.016532485,0.003757082,0,0.01392837,0.015154226,0.003313123,0.01161581,0.002498095,0.013013948,0.002537852,0.041354405,0.034224563,0.021144353,0.013974754,0.023085843,0
water and waste 36T39,0.000145807,0.000758194,0.000641549,0.003470197,0.001195614,0.021258603,0.003061939,0.004082585,0.008048524,0.005861425,0.023270734,0.001603873,0.01303511,0,0,0.094628485,0.04902018,0.00419923,0.000758194,0.001516389,0.002507874,0.010643882,0.005161554,0.000583226,0,0,0.015134725,0.008077686,0,0.021083635,0.030998484,0.002332906,0.001195614,0.002012131,0.010264785,0.007232007,0.120086318,0.269975504,0.039105331,0.065554648,0.046541467,0
construction 41T43,0.002012761,3.90827E-05,0.023049039,0.008842467,0.002618543,0.000127019,0.000224726,0,0.000332203,0.000273579,0.0005667,0,0,0,0,0.000986839,0.011578258,0.000517846,0.000586241,0.000107478,0.000742572,0.002696708,0.002462212,0,0,0,0.034295094,0.602450487,0,0.013249045,0.00530548,0.002354734,0.045560691,0.006810165,0.013141567,0.015134787,0.034744546,0.115430838,0.013122026,0.025667582,0.00458245,0
